"method","sim","SBS6","SBS18","SBS13","SBS2","SBS3","g","total_muts","total_abs","prop_abs"
"all_data","22","-134.709883921747","-46.7010113928449","43.6793045861236","-70.085950725278","207.828712355319","50.5","5453.23","566.910733366108","0.0597712968243604"
"all_data","23","-102.840183341805","-34.2638267566352","25.29659588886","-94.7959456958997","206.609083978036","50.5","4954.13","529.336104498176","0.0566741447395368"
"all_data","24","-125.287546978604","-34.4356887570358","97.848940309172","-125.57354755012","187.460326875329","50.5","5902.6","645.202150994464","0.0589216230992563"
"all_data","25","-89.4254341581767","-131.419007854597","79.0845430291406","-125.42564212615","267.197926507896","50.5","5403.9","775.894014473697","0.0654430947306717"
"all_data","26","-99.7887362542249","-91.8561654440446","149.524880277106","-173.819438512525","215.947652797227","50.5","5364.74","755.240661088688","0.058757984367254"
"all_data","27","-177.161011394345","-5.86588255563835","134.697387181405","-172.71530123361","221.056623419842","50.5","5851.01","856.429328260069","0.0806905227882955"
"all_data","28","-144.320979416229","-21.7767848059059","187.223694039597","-220.125515821218","199.006730359525","50.5","6780.95","840.895017589265","0.0620506479968686"
"all_data","29","-154.733434352844","-25.0479292761378","50.440010865006","-126.529024007121","255.879319623188","50.5","4889.72","696.704536795877","0.0702151702486144"
"all_data","3","-119.686699880792","-49.5800675670268","231.628104089992","-261.912417421584","199.563000744885","50.5","5041.35","922.74697612903","0.0675064481970334"
"all_data","30","-222.995456489697","-31.2167623680787","2.03687326747141","-44.4750293391589","296.662604847678","50.5","6621.67","868.151768056229","0.0837202557196686"
"all_data","31","-169.035020924865","-40.3152483776407","104.423404828499","-163.70030347415","268.63837846737","50.5","5534.03","838.729187434393","0.0750737498343327"
"all_data","32","-44.2825538160424","-137.287754944892","-21.9643423119345","-64.8995253482336","268.44109696653","50.5","4897.72","577.958017122737","0.0536656876654405"
"all_data","33","-147.486062440865","-143.423887556234","-24.8149027641079","-67.9328190785917","383.668024909064","50.5","4614.31","826.10486291335","0.084997326937266"
"all_data","34","-111.556393667421","-15.0637979145752","178.03823983799","-212.217794902892","160.810743479359","50.5","6298.54","749.922390978666","0.0479282165887933"
"all_data","35","-102.526288404607","-149.572763056769","-22.3445673069475","-20.1746143511876","294.627426998775","50.5","5958.91","762.035448879757","0.0686174040063625"
"all_data","36","-167.728206240107","23.3170862550113","156.028250580784","-201.627960596484","190.022227794427","50.5","5651.68","866.64824380206","0.0782003556287429"
"all_data","37","-67.0656360389956","-73.5564849664459","66.799095457634","-100.066574054046","173.896734421907","50.5","5998.93","519.178648678214","0.0474709477082949"
"all_data","38","-114.893905744448","-61.2727557640813","69.2666260912894","-106.36220551032","213.26989939152","50.5","5530.07","643.987830946812","0.0642046824031436"
"all_data","39","-111.401440431051","-58.6066512049777","3.23266923150518","-124.806825141302","291.592670668569","50.5","4426.4","736.572229925517","0.0762189215959697"
"all_data","4","-165.548824560053","-58.5186741518235","344.479823360237","-383.806447932368","263.398776342946","50.5","6872.29","1294.38813957039","0.0842850293037254"
"all_data","40","-127.046705076793","-115.761762797691","141.859874110944","-195.851756531946","296.81753252001","50.5","5598.84","989.347607684163","0.0750855012205073"
"all_data","41","-135.899870859869","-22.1221765532175","125.816101874436","-174.991827809978","207.205423835608","50.5","6979.69","789.467600219276","0.0573940588425349"
"all_data","42","-125.625215302145","-103.936443257523","76.4346788294664","-164.544928373266","317.679844135832","50.5","5431.5","949.775876362778","0.0723973563279786"
