"method","sim","SBS6","SBS18","SBS13","SBS2","SBS3","g","total_muts","total_abs","prop_abs"
"impute","21","-108.367741507469","-319.439002113697","163.160783452469","-164.749961905709","311.417015370505","50.5","9468.64","1168.3948520951","0.0633969676606148"
"impute","22","-118.015533916326","-153.469558209277","107.358355078456","-38.8239526436245","307.065893279347","50.5","7461.63","775.998254202186","0.049423486379825"
"impute","23","-113.264730488519","-87.498274197665","-82.2897976884493","-193.412319169519","284.273408488431","50.5","6962.41","853.32624299734","0.0626895194869029"
"impute","24","-135.27465190035","-78.7968326423261","115.545076296129","-115.335779676736","403.852848351124","50.5","7908.73","949.295455191409","0.0614957533244315"
"impute","25","-86.2285037992801","-289.369368238293","32.6356407437694","-119.166977446077","496.108783249692","50.5","7397.04","1199.05939685845","0.0772037707638456"
"impute","26","-133.471055869811","-143.477194245022","293.57140350766","-117.745360248574","312.06375439413","50.5","7372.25","1016.4192230255","0.0593217842068488"
"impute","27","-120.673505117163","-123.94585625993","215.543527358658","-44.8465161136302","131.635373303926","50.5","7872","823.466090004268","0.0473009708287568"
"impute","28","-112.843498421708","4.96290233939206","414.083748035008","85.1807943862869","144.851572052327","50.5","8756.18","954.500684067193","0.04881163984801"
"impute","29","-134.184591049862","-74.971500510617","53.3255648759546","-96.7886580492187","369.665167039095","50.5","6895.17","820.351160413126","0.0536548358797689"
"impute","3","-100.360341425943","-27.9163299695312","302.416612391478","-168.257784897796","263.009294063652","50.5","7053.31","1007.9640513203","0.0501288172113437"
"impute","30","-249.731879421103","-237.872279656109","-4.99563223964478","-46.247567276262","508.607202377339","50.5","8610.87","1285.94451925439","0.0830736106593966"
"impute","31","-195.461185422353","-56.5569382567165","-58.6229641296966","-250.955756504871","466.330927755377","50.5","7531.85","1243.80637466385","0.080159594348169"
"impute","32","-56.3623259533126","-249.064513316474","-206.073496939751","-103.014369903884","370.158730817341","50.5","6881.86","1003.55162589938","0.0694187309499062"
"impute","33","-37.1916198647864","-276.302807430696","-85.355265064946","-105.137639791578","567.051818390102","50.5","6619.93","1125.11657419823","0.0774139139450961"
"impute","34","-97.0669000938144","-123.467899726193","-68.9101909256378","-267.085918301655","-54.5988814800389","50.5","8293.21","1023.19707129789","0.0621865736355494"
"impute","35","-95.9455093480667","-267.545775540266","103.331984576017","99.6794105822527","440.326221244393","50.5","7929.48","1035.19056215832","0.0644049974984725"
"impute","36","-170.843297466064","-77.2105292961402","328.417308377399","-55.0227929995733","452.866610853695","50.5","7646.01","1191.06574582331","0.0756382181829696"
"impute","37","-79.4774848905059","-89.5489721218249","132.761034967904","-83.8435309846509","385.048296017869","50.5","8006.09","822.423430017198","0.0517455289857255"
"impute","38","-71.1058869549629","-130.15166653084","254.336327300386","112.866425547416","366.430608896872","50.5","7522.17","963.42762816599","0.0612379334695574"
"impute","39","-86.7745741970686","-148.263331861713","53.8818503138046","-63.0823569048561","432.886761527275","50.5","6422.45","873.149068361683","0.0587330318264344"
"impute","4","-172.284408416351","-109.802141528856","386.237336621846","-175.492266565852","313.536756368338","50.5","8906.9","1262.07981712798","0.0562556754348514"
"impute","40","-42.3677103188966","-205.494751757946","198.558269118903","-186.525361393844","757.081841710727","50.5","7604.09","1474.34109484468","0.0850152987629003"
"impute","41","-181.643480385237","-109.153339697649","-42.8552203504944","-275.085483776826","343.514862424572","50.5","8958.13","1274.94330396671","0.0765053414198821"
