"method","sim","SBS6","SBS18","SBS13","SBS2","SBS3","g","total_muts","total_abs","prop_abs"
"impute","1","-202.037590625525","-80.8393373748481","-232.551798385008","-198.114907858481","284.027774631396","50.5","5919.51","1071.91846825312","0.115845574059192"
"impute","10","-68.1697971518878","-111.185981116103","-71.4544927219357","-95.1826302860888","278.746456293315","50.5","5308.23","697.118221047521","0.0659225326641741"
"impute","100","-95.6009289156266","-65.8574089241932","-11.7917617500625","-216.579256790275","81.9104107173535","50.5","5281.34","629.754853721998","0.0526812508384362"
"impute","11","-88.5860348776644","90.7437886982807","-31.0769119714395","-41.8699938401312","200.150569895165","50.5","4444.03","509.001398122179","0.0644567061860727"
"impute","12","-20.2232600767442","-216.644829698095","13.1702596488971","-173.364856858108","266.372494555283","50.5","5332.32","785.844839866677","0.0776642785775535"
"impute","13","-159.26661311404","-31.1056679961728","-191.553891152897","115.703383527199","234.793068364864","50.5","5869.85","842.202602647576","0.0828435743807582"
"impute","14","-126.72487884839","24.1924755744186","-127.119493371188","-253.958398092548","313.835425547298","50.5","6002.12","931.312226993538","0.109873208390606"
"impute","15","-71.8985279776074","28.9855239719932","63.6227004861644","-88.8769957019782","170.106322074973","50.5","4422.41","572.833700809412","0.0642368801877047"
"impute","16","-168.696488097009","-41.7641157445173","233.257789258357","-20.2800212714551","151.796001996026","50.5","7182.3","865.357388759369","0.0757772005178389"
"impute","17","-72.3245206260675","-22.9031286939537","-31.8871599980418","-370.878933290844","41.3044824042887","50.5","6395.54","773.156150356452","0.0601629460199576"
"impute","18","-238.434083038447","-108.01404792103","-155.464193310285","-190.38167836056","286.238788439274","50.5","5966.32","1038.54229070587","0.111343761442936"
"impute","19","-42.8598807950101","-0.301316236154272","104.692162429156","-44.4740715501213","200.126726654007","50.5","6938.11","685.524979115809","0.0680243672241292"
"impute","2","-201.49534100137","-33.3348686447428","-6.27794274578342","83.5589873980771","152.902493554329","50.5","6041.34","712.782198070076","0.081223048088652"
"impute","20","-138.757104221012","-100.434180570628","-77.6064993837234","-352.695474328264","414.600079820268","50.5","5716.33","1221.395952458","0.122538144136043"
"impute","21","-104.958295465851","-40.5618735493753","188.164307213694","-241.218858049767","286.75758518286","50.5","7453.24","1025.92468883945","0.0809238651989851"
"impute","22","-152.196774897421","7.10027770651159","98.9528213149379","-256.595523273305","179.89862341684","50.5","5453.23","800.658097705047","0.0739215240766518"
"impute","23","-140.055257500286","-27.2633806411203","84.0992905333509","72.4046653415865","210.198838904104","50.5","4954.13","688.103433525995","0.0912994120781883"
"impute","24","-64.365633177103","-106.521612101083","71.8004250837026","-215.007227883599","101.447607181603","50.5","5902.6","613.415769200124","0.0538706396259287"
"impute","25","-73.8376755362912","-125.636160694016","125.814789801504","-310.314738394685","204.337914194779","50.5","5403.9","927.098018623754","0.0712902449822029"
"impute","26","-135.441366605349","-34.7740873649629","-13.0211185023834","-175.94011725208","176.34556803819","50.5","5364.74","640.719734792745","0.0653783788539533"
"impute","27","-185.622447096301","-75.7722023913775","87.0161798758784","-127.206129725853","360.020897973525","50.5","5851.01","982.328413401159","0.112779596590929"
"impute","28","-123.222122904383","-106.139010793824","-79.3454679450382","-597.285664346173","295.915637684949","50.5","6780.95","1383.39559402208","0.127631408025099"
"impute","29","-169.154089311044","-13.0916949231092","-13.6944015314769","-137.129471025128","227.000584476686","50.5","4889.72","666.164718021253","0.0746873600753633"
"impute","3","-161.876088736756","-70.013392789133","198.462411938933","-334.086900664121","169.304037704587","50.5","5041.35","951.014917599575","0.0863550366946312"
"impute","30","-160.508532787394","53.6381252495769","-23.6560569517789","-73.5775154312821","173.532727866581","50.5","6621.67","668.497350638438","0.0664925004922796"
"impute","31","-138.789781394256","-143.95662812576","235.780201444534","-81.094338043921","191.158681346067","50.5","5534.03","902.886600602021","0.0826626456658689"
"impute","32","-50.2761343738669","-49.4127918213521","89.6859849042779","-21.3579048448611","227.198495475714","50.5","4897.72","562.14099111573","0.0640451058796271"
"impute","33","-267.2724679785","-83.6162295908707","-18.1790970850629","-21.9892867593884","318.836795825385","50.5","4614.31","804.702781733733","0.0995364563121466"
"impute","34","-97.3723303782816","43.7078887858315","342.237081905984","-205.430949083787","339.221530384682","50.5","6298.54","1131.11269099594","0.0998453871834874"
"impute","35","-126.420379470616","-118.753228616074","-107.197472085409","-106.901892075451","222.743509111167","50.5","5958.91","738.904577858477","0.070594097447667"
"impute","36","-141.662241808229","-15.5385000823644","-34.8005056531106","-224.143886081719","91.2972314238478","50.5","5651.68","637.579351851847","0.062643370324988"
"impute","37","-19.261168278677","-158.157925048576","114.35220211205","-89.6643843235249","64.1670137484868","50.5","5998.93","605.025916796332","0.0551530548413448"
"impute","38","-131.132185995336","-92.788222746836","-97.7451816393725","-285.753888188223","158.064676175268","50.5","5530.07","846.90664202925","0.0887279987594061"
"impute","39","-101.500582866503","-53.6684751954572","-98.0775710078191","-147.952876730323","258.642660510639","50.5","4426.4","740.348336006123","0.0878931059798611"
"impute","4","-139.633342295655","-105.731080353126","103.751291954822","-447.471693283433","298.886820340472","50.5","6872.29","1156.13101122215","0.0979011892700265"
"impute","40","-224.94475182119","-140.877145575972","26.1071449423177","-107.037225352236","79.5600455318313","50.5","5598.84","698.251926586252","0.0716358569711282"
"impute","41","-22.6385903954604","-66.8474523587637","12.4856143371641","80.6117372443262","135.2604926031","50.5","6979.69","757.159495861425","0.0585285498990694"
"impute","42","-118.172874831093","-208.755637914987","-31.2412182341046","-125.990769928566","116.965494130661","50.5","5431.5","679.902278548708","0.0647403952285694"
"impute","43","-189.160194324019","29.3295217979412","2.49938915886309","-130.174195145278","189.090566467801","50.5","6187.81","692.157537707392","0.0737241006818671"
"impute","44","-92.2872168610924","-24.4033288627442","-274.880805924053","-412.364300932377","295.330342807465","50.5","8029.23","1293.38324490317","0.125019855345689"
"impute","45","-130.764273292762","40.9767065467662","-1.04775583596615","-48.2113661990653","306.454088418234","50.5","5560.73","725.642459054767","0.0763913956756693"
"impute","46","-200.624180129231","70.6592325727142","180.593229730702","-90.3982602643707","133.693018383109","50.5","6123.22","797.01288705472","0.0956553450214853"
"impute","47","-225.96258629227","102.241359322337","-108.327355245758","63.4625830138129","182.890080305814","50.5","6599.65","871.564387357352","0.0998859740771845"
"impute","48","-161.559524005377","35.8602962783695","43.5577872177714","-155.266036255137","-24.6899754948607","50.5","5157.39","542.956142921547","0.0567912514088334"
"impute","49","-138.525794295786","-129.239274657815","35.8070615438075","-115.163445685227","167.654438175886","50.5","5625.92","715.784915986545","0.0715515394907922"
"impute","5","-152.821092028196","-110.137451668156","74.8350256958965","-91.3599659638133","198.972286826687","50.5","4675.58","692.420879683818","0.070758188492253"
"impute","50","-112.220536940666","-183.968838840413","-18.0221007006346","-254.870197869571","122.928800141876","50.5","6264.21","879.242705100723","0.0705852071987922"
"impute","51","-270.376000708102","-52.9219894255323","-53.6309087137941","-173.714137743339","268.542416601853","50.5","5234.59","878.227897514807","0.112339221520831"
"impute","52","-119.505172878683","127.179802676541","237.919776869884","-206.670786621895","312.347189295836","50.5","6557.09","1062.89886777161","0.10484735106875"
"impute","53","-211.421179049892","-95.7632466180459","-67.975218729528","-152.655650068683","281.46748122359","50.5","4718.17","945.844001313693","0.104378894597573"
"impute","54","-53.552120371712","-94.7938325410051","-6.84380178442602","-172.570599074202","326.487789183469","50.5","5521.47","825.820345244923","0.0674747884046252"
"impute","55","-193.707778563705","38.7536285792163","-139.377959977756","-352.121011321897","250.362202037678","50.5","7243.37","1075.19485148136","0.130928127976282"
"impute","56","-178.997913443542","-17.9341307565763","-37.9831922155558","-27.4954524167356","414.704649035415","50.5","6049.95","883.998872708032","0.10255870154071"
"impute","57","-256.331083957575","-60.2115332932224","118.832196624611","24.0396379289462","217.410973216814","50.5","6186.85","856.672185612006","0.0926397387504521"
"impute","58","-40.2422862972333","24.3861775980424","18.4123569327332","-147.790972959284","168.619625642884","50.5","6082.34","546.774728033626","0.0565488542001568"
"impute","59","-80.0988164429753","-52.6046654529259","172.63397951891","-141.216029636994","216.008581112496","50.5","6062.63","840.493808008633","0.0742279806782564"
