"method","sim","SBS6","SBS18","SBS13","SBS2","SBS3","g","total_muts","total_abs","prop_abs"
"stabilize","21","72.67843557691","-117.109348617748","-122.585744757943","-154.710120636212","321.726778434992","50.5","9468.64","974.999068399022","0.0558003631093557"
"stabilize","22","93.2755425334603","42.8499702948086","-256.992569357764","-48.5991567072865","169.466213236782","50.5","7461.63","911.917158117273","0.0495211157344496"
"stabilize","23","158.543642284639","-71.4160026518668","-325.988244636221","-38.7078144104434","277.568419413892","50.5","6962.41","1140.40335559788","0.0658342685535472"
"stabilize","24","2.39055667146028","131.553233168454","-459.483283878149","-54.5288253015742","380.068319339812","50.5","7908.73","1461.78088163579","0.0838908600311918"
"stabilize","25","39.7913848159755","-89.7621364269349","-188.94102887083","-214.923897628872","453.835678110659","50.5","7397.04","1171.97845819286","0.0734097423895108"
"stabilize","26","176.762527742052","15.0183584873342","-190.523195030608","-229.321398230543","228.063707031766","50.5","7372.25","1047.4354422467","0.067455765702573"
"stabilize","27","105.103908932613","-284.339060789529","-251.84654780314","-7.78445321210225","438.866152872159","50.5","7872","1439.96718388189","0.090259286630783"
"stabilize","28","118.664537930003","-3.79654077464634","188.493471355357","-435.46665194333","132.105183432618","50.5","8756.18","1404.88384667959","0.0520553984795542"
"stabilize","29","124.480266858544","76.2229620662916","-245.108774475505","-245.023399171743","289.428944722413","50.5","6895.17","1072.18651627136","0.0671547608833503"
"stabilize","3","46.3031981365966","74.4574588694043","-247.428952558653","-148.663157688459","275.331453241112","50.5","7053.31","1049.80188058446","0.0645933675863842"
"stabilize","30","124.943516262302","4.18508221065851","-39.0059545496915","-335.375217407311","245.252573484043","50.5","8610.87","1152.17961595156","0.0575724142034645"
"stabilize","31","75.6157221005312","89.0825504305726","-195.192675338212","-253.6755011067","284.169903913809","50.5","7531.85","1031.50012544679","0.065522693212116"
"stabilize","32","111.656724109205","-21.0290271902523","-223.405223044895","-251.141593458728","383.919119584667","50.5","6881.86","1126.72583381798","0.0751198848957105"
"stabilize","33","92.1041944693811","-184.552936937619","-286.241050296161","-270.895724450936","649.585517215333","50.5","6619.93","1520.05241116613","0.107432429353275"
"stabilize","34","89.4790240307809","41.4417267036294","-300.002112273379","-194.034590506095","363.115952045064","50.5","8293.21","1154.12940892673","0.0712259572594258"
"stabilize","35","86.2336370809386","-58.60902179306","-441.758250662943","-2.52125146234293","416.654886837409","50.5","7929.48","1491.48412646554","0.0801383865287481"
"stabilize","36","28.316372392093","101.033158972552","-331.288328732794","-146.822289497246","348.761086865395","50.5","7646.01","1135.47134050475","0.0767922189613909"
"stabilize","37","166.285528709955","-17.330544614671","-81.5712179458643","-300.641463559773","233.257697410352","50.5","8006.09","1060.916871728","0.0591649695961595"
"stabilize","38","146.060361413216","-19.5572677258699","-216.43850272636","-231.360340353252","321.295749392268","50.5","7522.17","1087.69792892732","0.0770158602375443"
"stabilize","39","97.4364210553627","-56.2158310569496","-517.027401521766","-198.107234736783","673.914046260137","50.5","6422.45","1597.25173572037","0.117163477514082"
"stabilize","4","94.0075900787731","-141.438437696127","294.35167527109","-425.46412589014","178.543298236406","50.5","8906.9","1352.59940846428","0.0489261158969986"
"stabilize","40","27.3353358623813","74.5740064288213","-253.560653895287","-172.672445488825","324.323757092907","50.5","7604.09","1018.96671501281","0.0667104406170322"
"stabilize","41","-51.1719611421159","99.3482135941935","-404.702208349276","-99.9612568458807","456.487212743081","50.5","8958.13","1286.05904925957","0.076447090017401"
"stabilize","42","15.4146317941573","27.203410102456","-344.636268391969","-261.237106964762","563.255333460118","50.5","7442.05","1495.12848211199","0.093316666114061"
"stabilize","43","51.0514549288662","69.7730572844916","-295.786606021276","-53.8491377517591","228.811231559676","50.5","8193.16","1053.45703983645","0.0533234708177106"
"stabilize","44","23.2395085132703","-49.9523727107901","-31.5986245601211","-123.224587104138","181.536075861776","50.5","10053.62","1172.90661850445","0.0541822833676456"
"stabilize","45","37.1798719109046","141.219393857555","-323.083237414105","-226.824386628094","371.508358273741","50.5","7580.07","1245.3424097568","0.0768318279760541"
"stabilize","46","1.56941207488611","118.323754049981","12.7488391949335","-405.175703246746","272.533697926945","50.5","8122.56","1197.95107422532","0.064993443829501"
"stabilize","47","27.3116276504023","-12.2870772209328","63.5002738921782","-488.751489863095","410.226665541447","50.5","8605.98","1737.68500014592","0.0797492216613079"
"stabilize","48","-14.137007989013","1.37180910792568","-1.00898772044741","-309.100130791319","322.874317392855","50.5","7159.64","1030.28224560039","0.06560577084884"
"stabilize","49","3.70027558304872","20.7928339793524","-339.58426043893","1.56229023177201","313.528860644757","50.5","7603.38","1129.78654451685","0.0594504717519354"
"stabilize","5","57.6889511640071","103.732373055476","-211.148616480627","-190.831440238628","240.558732499771","50.5","6676.82","1004.42001307317","0.0695369818531013"
"stabilize","50","-4.307879380932","-2.3100067881289","-165.117791736799","-213.827933616892","385.563611522753","50.5","8257.16","983.202386695603","0.060213784211768"
"stabilize","51","52.3630022984483","131.901096853494","-198.468598455554","-88.7780824413272","102.98258174494","50.5","7231.48","888.999647949156","0.0508971454393961"
"stabilize","52","52.7565657906334","-109.292492521308","-54.966387160772","-148.810868051325","260.31318194277","50.5","8561.11","927.503321022364","0.050400070236034"
"stabilize","53","140.603273447446","-314.418157856983","-307.204343383629","-198.650427105614","679.669654898779","50.5","6728.68","1761.8711209926","0.124882396582636"
"stabilize","54","129.912346978421","-283.93537963919","-326.499199401198","-79.7803630950632","560.302595157032","50.5","7517.13","1554.89023386138","0.0957920546992836"
"stabilize","55","-10.666588038706","73.4050289845411","197.944070144725","-294.306818273312","33.6243071827519","50.5","9247.41","1060.79730063236","0.0445188736964418"
"stabilize","56","54.7676757942599","-148.722694914915","-413.307142936754","24.9280113283843","482.334150729027","50.5","8059.44","1495.46361358425","0.0801133740999036"
"stabilize","57","23.6829085972059","111.064754547068","-350.915028652646","-266.425025164612","482.592390672986","50.5","8174.09","1382.01612204227","0.083580827476048"
"stabilize","58","92.4672461989239","30.7236368775075","7.55192693532316","-336.875640653684","206.13283064193","50.5","8092.69","1043.14562056817","0.0569199856293342"
"stabilize","59","93.006327971192","31.6193481503886","-320.92260846581","-170.588603924111","366.885536268339","50.5","8063.24","1238.23022781102","0.0704325449743498"
"stabilize","6","31.6343065993213","100.928261080449","-203.415252586771","-180.936675550619","251.789360457619","50.5","6741.02","830.771092661117","0.0592966870022705"
"stabilize","60","87.422421740434","28.4404901004955","-391.039230195256","18.295940444088","256.88037791024","50.5","7771.74","1250.46959943151","0.0601671476586281"
"stabilize","61","71.2292293469694","108.101245246951","-277.278172422507","-131.183596119979","229.131293948567","50.5","8110.73","1055.61980711936","0.0586452628700281"
"stabilize","62","18.5845140044728","138.925851320282","-14.3034749309038","-263.154058681078","119.947168287228","50.5","8087.52","866.711135659133","0.045718337451387"
"stabilize","63","120.607517428122","-37.9785426930821","-225.874457782072","-243.684338671053","386.929821718085","50.5","8693.17","1298.27462729414","0.0759247039596108"
"stabilize","64","-21.8045399744443","231.240035726364","-178.183066248691","-161.348073524248","130.09564402102","50.5","8573.05","923.370395817717","0.0575300834382401"
"stabilize","65","65.3446348871743","130.796910244078","-268.865704413628","-383.544189658177","456.268348940552","50.5","7676.67","1430.5819871051","0.0869963155715144"
"stabilize","66","101.352029146821","5.39953557017832","-332.203651291145","-231.017406815966","456.469493390111","50.5","6969.41","1254.16257261711","0.0899146956892793"
"stabilize","67","17.820590804394","105.570250942464","-233.077653077174","-270.855125418238","380.541936748554","50.5","8409.82","1280.73852594893","0.0751862192351717"
"stabilize","68","6.81763309321533","13.5010449280868","-371.770948318687","-62.9967497826427","414.449020080026","50.5","8670.07","1185.76104687506","0.0619645816632618"
"stabilize","69","3.24024724142253","-108.187454232171","-185.54825438654","-20.0532221274452","310.548683504733","50.5","7364.36","991.506531818422","0.0634442700853601"
"stabilize","7","-20.7586686735549","-83.0289612608055","-332.282637062808","282.48899145379","153.581275543379","50.5","9715.27","1233.31079779659","0.0431865624401547"
"stabilize","70","143.716976026101","-242.899305772212","-316.595310522682","-31.2192827578335","446.996923026628","50.5","8494.12","1497.51766723123","0.0844550571472004"
"stabilize","71","78.5411416346758","-34.0083552158929","-375.897112364861","223.471307111811","107.893018834268","50.5","8876.1","1132.22142516239","0.0412324101517324"
"stabilize","72","89.9316932759363","124.814515485378","-172.215049078137","-258.507055508348","215.975895825171","50.5","7021.52","1001.62125925051","0.0652057245425703"
"stabilize","73","-80.3127273871235","4.08673837015068","218.079896255716","-237.99671344573","96.1428062069879","50.5","9294.52","897.726262817933","0.0411166678983165"
"stabilize","74","85.5450907206757","-328.827060970219","-44.1189271881612","-102.91982269172","390.320720129424","50.5","8731.22","1311.07674107113","0.074789306772485"
"stabilize","75","-96.3400263299736","115.040914612774","25.6052781143312","-120.320018169623","76.0138517724926","50.5","8770.87","913.463194299045","0.0551900096815627"
"stabilize","76","49.695787078047","-141.923894376436","-300.024230395354","93.232544846882","299.019792846861","50.5","8172.55","1261.97053214932","0.0593502475153115"
"stabilize","77","-25.0333119652089","54.3523716821083","-223.020621846049","-177.133613504887","370.835175634039","50.5","6354.23","913.35806549141","0.0666918161750675"
"stabilize","78","-80.6133646823903","97.1796020266107","319.198168774711","-567.135626501658","231.371220382726","50.5","9175.72","1698.84679911277","0.0623095334367396"
"stabilize","79","40.7489152327384","-69.2855295797816","-17.3387216152178","-191.857867686457","237.733203648717","50.5","8991.46","938.971409823884","0.0491536653603496"
"stabilize","8","-47.5070806958895","114.629882462154","-196.725764370274","-323.154303215958","452.757265819966","50.5","7210.81","1333.22000239077","0.0927870925450904"
"stabilize","80","37.970501284902","-86.1764319636462","-98.7762648573461","-302.401328066531","449.38352360262","50.5","7983.52","1334.36893899583","0.0728851404217773"
