"method","sim","SBS6","SBS18","SBS13","SBS2","SBS3","g","total_muts","total_abs","prop_abs"
"impute_and_stabilize","1","-22.9690156526319","-1.3683099620284","283.636109070658","145.35264265703","20.8876288446654","50.5","7920.61","724.135739243708","0.0427017229497216"
"impute_and_stabilize","10","13.3882167587611","-164.87143355611","99.8397885636485","92.3259649784829","91.0607800084052","50.5","7279.51","636.512225449368","0.0392517354745301"
"impute_and_stabilize","100","-20.1425048821699","29.1674800846547","265.829001308828","36.5065783704362","117.583330823688","50.5","7288.27","690.264418657227","0.0405778950620694"
"impute_and_stabilize","11","23.0315550623541","-25.8709882417072","-48.5035397740091","46.7661693764199","-155.301245227679","50.5","6451.68","382.136695732637","0.0327564705305547"
"impute_and_stabilize","12","4.51908120439511","-76.772353251052","76.8040742897005","34.9318968347407","59.5825966255823","50.5","7307.42","479.126432016979","0.0292277376151191"
"impute_and_stabilize","13","59.2758423516059","-179.549098970638","-106.778977061589","84.4885832738252","116.747048426739","50.5","7880.38","769.284586516617","0.0475050153522903"
"impute_and_stabilize","14","-30.5516750423072","63.9236255796147","280.823926672674","68.3944138291188","-276.816946669068","50.5","7995.83","854.349668189118","0.0533349006418326"
"impute_and_stabilize","15","59.246448296617","-136.746702524668","-28.9927401355064","8.91590558912272","-18.7382542468658","50.5","6400.22","465.493132865007","0.0372386238269804"
"impute_and_stabilize","16","-88.1346806831585","-41.8491383538385","-80.5137433042475","-262.97377288578","354.229220816487","50.5","9182.32","1137.9008971765","0.0683222566985376"
"impute_and_stabilize","17","-53.9486968910019","4.18789611668636","102.027443787151","343.432638549028","111.470428977624","50.5","8393.86","824.088464702897","0.0443311748390934"
"impute_and_stabilize","18","-77.7875993574682","-224.652089804388","348.05564225145","64.2193196980474","400.019325246898","50.5","7962.14","1190.70320784177","0.0745543012208315"
"impute_and_stabilize","19","-50.1509744332145","-77.4218229801455","-75.7282779428878","-164.055922918378","10.6552312365317","50.5","8946.67","847.528440458672","0.0571957079439085"
