"method","sim","SBS6","SBS18","SBS13","SBS2","SBS3","g","total_muts","total_abs","prop_abs"
"random_split_and_nmf","1","-182.671019668197","-195.408668845755","48.418044305635","-205.060592163476","476.278965482358","50.5","7920.61","1215.14527141315","0.0757686724692314"
"random_split_and_nmf","10","-177.894347918018","-270.592356178944","18.6326528536442","-137.235710665839","567.394814268595","50.5","7279.51","1313.03031621598","0.0840965163248538"
"random_split_and_nmf","100","-186.744554118481","-113.085310180608","-40.4792903457542","-166.783346121685","419.848211515884","50.5","7288.27","1017.57758508684","0.0689946588735738"
"random_split_and_nmf","11","-117.324353951423","-82.4546898249812","-78.2317452902509","-126.579603675665","394.367539132934","50.5","6451.68","858.756875787884","0.0628477980972426"
"random_split_and_nmf","12","-142.462315156821","-250.676801317987","73.736443261349","-273.674642822007","512.327615336682","50.5","7307.42","1359.38965664267","0.0843573244191425"
"random_split_and_nmf","13","-166.184848248572","-229.880470156708","-1.05377328410048","-159.200368314114","469.929262270685","50.5","7880.38","1095.65990581806","0.0747942491988053"
"random_split_and_nmf","14","-144.768571649211","-149.636112031137","151.894616937502","-326.54723514716","419.976942717846","50.5","7995.83","1344.10491091921","0.0715052983358473"
"random_split_and_nmf","15","-107.318644244168","-230.333181997868","-48.245217786691","-110.227811099487","457.717273307106","50.5","6400.22","994.323860029982","0.0753674782430521"
"random_split_and_nmf","16","-204.081075215783","-211.681215034908","108.981358404219","-238.417598327013","539.893161162045","50.5","9182.32","1435.3466274092","0.0747974870119004"
"random_split_and_nmf","17","-110.502255416424","-251.236564993733","39.0698770837461","-236.271327175493","461.490201697567","50.5","8393.86","1221.90697271833","0.0780792243152715"
"random_split_and_nmf","18","-206.586774675725","-309.170069365136","249.219065450572","-399.31172768006","608.424529881179","50.5","7962.14","1869.10843050399","0.105401927422309"
"random_split_and_nmf","19","-145.332857260292","-197.672814493561","230.983750982006","-341.344764918387","437.235114464001","50.5","8946.67","1409.6391861215","0.0720077329398335"
"random_split_and_nmf","2","-195.819724153164","-118.279000114948","-19.3658685571957","-112.121447341187","417.6455258302","50.5","8023.5","1058.30180526823","0.0662287807916951"
"random_split_and_nmf","20","-194.728844818742","-244.542112716225","36.9519135937092","-159.715209992611","545.224277837199","50.5","7709.36","1276.34169036051","0.0852298536524839"
"random_split_and_nmf","21","-106.994444858315","-287.122120922678","185.96128429058","-297.003431225944","486.096262905568","50.5","9468.64","1451.30700859288","0.0714111020103941"
"random_split_and_nmf","22","-152.116960787314","-200.132648462823","-57.7264874662843","-83.6681855976033","449.43153186745","50.5","7461.63","1029.95762620968","0.0723679446808237"
"random_split_and_nmf","23","-157.350507155865","-147.537384301818","-0.778130011273923","-130.552021074703","414.792433842795","50.5","6962.41","962.182729162549","0.0672035716854742"
"random_split_and_nmf","24","-156.74711087685","-156.004415973137","97.6952034751427","-266.420347504265","408.804724409108","50.5","7908.73","1200.50156510352","0.0694185256119351"
"random_split_and_nmf","25","-153.480184707333","-290.498486539725","38.2839958240056","-197.049113770929","539.599184546898","50.5","7397.04","1354.9684840077","0.0822762999567607"
"random_split_and_nmf","26","-172.455242360954","-158.189710810926","-43.2053027800834","-139.930646686961","405.988967058293","50.5","7372.25","1023.27544496104","0.0683000640490384"
"random_split_and_nmf","27","-183.816846068648","-131.117997316027","49.2314730229168","-262.118437800166","398.610427539334","50.5","7872","1139.80680222851","0.0686025961145558"
"random_split_and_nmf","28","-182.384847558156","-143.522909198518","-54.2661882258568","-98.9826684413349","410.340967522977","50.5","8756.18","1029.91868919047","0.0644499518488596"
"random_split_and_nmf","29","-148.076668387471","-203.879907239705","-73.8701834983827","-165.960538203472","507.384782622114","50.5","6895.17","1143.9190896721","0.0778710465288178"
"random_split_and_nmf","3","-144.130772085273","-178.324800763286","60.9048316932393","-297.00042540085","488.927319946065","50.5","7053.31","1273.44226855442","0.0816865897173168"
"random_split_and_nmf","30","-193.522985050985","-195.832287764903","-15.5149066445131","-131.414446769994","497.640263370207","50.5","8610.87","1213.69584813458","0.0740754137318336"
"random_split_and_nmf","31","-172.708187024374","-95.8141813305867","1.21887496456685","-239.709406654831","445.596865869672","50.5","7531.85","1164.12802052199","0.0713185228225291"
"random_split_and_nmf","32","-147.109483672794","-156.001163511198","-72.693528499477","-122.320072216809","483.16746404171","50.5","6881.86","1016.97600137863","0.0717550706349149"
"random_split_and_nmf","33","-177.090943159096","-275.157087226241","-93.3252074488173","-107.590004642625","627.266337209964","50.5","6619.93","1291.3416335002","0.0936609844498461"
"random_split_and_nmf","34","-164.998530135674","-141.272703055855","132.454465229257","-340.109069118249","425.750165560007","50.5","8293.21","1327.67387057515","0.0678147541630169"
"random_split_and_nmf","35","-164.87559034325","-229.753667654704","-16.2826038462846","-159.861954095907","494.576181477036","50.5","7929.48","1190.75632157215","0.0763585357592777"
"random_split_and_nmf","36","-161.107839946733","-190.270963419276","46.8822588805894","-204.112749149602","453.636236277888","50.5","7646.01","1234.06364829987","0.0775685845186328"
"random_split_and_nmf","37","-140.959059587728","-147.322880642243","46.5670859150648","-216.146919218543","392.883243532517","50.5","8006.09","1067.50493441512","0.0623684222431766"
